Data/Hora	ZM 1	ZM 2	ZM 3	ZM 4	ZM 5	ZM 6
05/11 00:00	15,20	4,80	6,44	0,00	0,80	0,40
05/11 00:01	15,20	4,80	6,44	0,00	0,80	0,40
05/11 00:02	15,20	4,80	6,44	0,00	0,80	0,40
05/11 00:03	15,21	4,80	6,44	0,00	0,80	0,40
05/11 00:04	15,21	4,80	6,44	0,00	0,80	0,40
05/11 00:05	15,21	4,80	6,44	0,00	0,80	0,40
05/11 00:06	15,21	4,81	6,44	0,00	0,80	0,40
05/11 00:07	15,21	4,81	6,44	0,00	0,80	0,40
05/11 00:08	15,22	4,81	6,44	0,00	0,80	0,40
05/11 00:09	15,22	4,81	6,44	0,00	0,80	0,40
05/11 00:10	15,22	4,81	6,44	0,00	0,80	0,40
05/11 00:11	15,22	4,81	6,45	0,00	0,80	0,40
05/11 00:12	15,22	4,81	6,45	0,00	0,80	0,40
05/11 00:13	15,23	4,81	6,45	0,00	0,80	0,40
05/11 00:14	15,23	4,81	6,45	0,00	0,80	0,40
05/11 00:15	15,23	4,81	6,45	0,00	0,80	0,40
05/11 00:16	15,23	4,81	6,45	0,00	0,80	0,40
05/11 00:17	15,23	4,81	6,45	0,00	0,80	0,40
05/11 00:18	15,24	4,82	6,45	0,00	0,80	0,40
05/11 00:19	15,24	4,82	6,45	0,00	0,80	0,40
05/11 00:20	15,24	4,82	6,45	0,00	0,80	0,40
05/11 00:21	15,24	4,82	6,45	0,00	0,80	0,40
05/11 00:22	15,24	4,82	6,45	0,00	0,80	0,40
05/11 00:23	15,24	4,82	6,45	0,00	0,80	0,40
05/11 00:24	15,25	4,82	6,45	0,00	0,80	0,40
05/11 00:25	15,25	4,82	6,45	0,00	0,80	0,40
05/11 00:26	15,25	4,82	6,45	0,00	0,80	0,40
05/11 00:27	15,25	4,82	6,45	0,00	0,80	0,40
05/11 00:28	15,25	4,82	6,45	0,00	0,80	0,40
05/11 00:29	15,26	4,82	6,45	0,00	0,80	0,40
05/11 00:30	15,26	4,83	6,45	0,00	0,80	0,40
05/11 00:31	15,26	4,83	6,45	0,00	0,80	0,40
05/11 00:32	15,26	4,83	6,46	0,00	0,80	0,40
